CHC1	DCHC1	CSA1	DCSA1	CHC2	DCHC2	CSA2	DCSA2	CHC3	DCHC3	CSA3	DCSA3	CHC4	DCHC4	CSA4	DCSA4
225041.0	4	251548.0	4	95518.0	6	106957.0	6	76186.0	8	82345.0	8	74930.0	10	84408.0	10
218117.0	4	237797.0	4	191805.0	6	200108.0	6	184435.0	8	229110.0	8	81664.0	10	115408.0	10
102709.0	4	130813.0	4	78426.0	6	95756.0	6	65540.0	8	69595.0	8	49460.0	10	56176.0	10
126713.0	4	157347.0	4	123272.0	6	122461.0	6	84041.0	8	93272.0	8	74049.0	10	86182.0	10
169477.0	4	242643.0	4	150481.0	6	177115.0	6	102312.0	7	123238.0	7	71364.0	9	81224.0	9
198455.0	4	203899.0	4	143167.0	6	206796.0	6	106229.0	8	134643.0	8	97916.0	10	109072.0	10
156114.0	4	270101.0	4	135401.0	6	156620.0	6	135880.0	7	229437.0	7	99818.0	9	120426.0	9
158223.0	4	224399.0	4	155684.0	6	189964.0	6	101421.0	8	179158.0	8	93036.0	10	143766.0	10
278816.0	4	307982.0	4	191270.0	6	215709.0	6	162332.0	8	229959.0	8	64673.0	10	109103.0	10
118947.0	4	155745.0	4	107563.0	5	110881.0	5	62480.0	7	72516.0	7	59949.0	8	73808.0	8
