IHC1	ISA1	IHC2	ISA2	IHC3	ISA3	IHC4	ISA4
265.0	264.0	265.0	265.0	265.0	265.0	265.0	264.0
265.0	264.0	265.0	264.0	265.0	263.0	265.0	259.0
265.0	260.0	265.0	260.0	265.0	265.0	265.0	265.0
265.0	265.0	265.0	264.0	265.0	265.0	265.0	260.0
265.0	265.0	265.0	260.0	265.0	265.0	265.0	265.0
265.0	264.0	265.0	260.0	265.0	265.0	265.0	265.0
265.0	250.0	265.0	263.0	265.0	265.0	265.0	265.0
265.0	259.0	265.0	265.0	265.0	265.0	265.0	265.0
265.0	265.0	265.0	265.0	265.0	265.0	265.0	265.0
265.0	265.0	265.0	263.0	265.0	265.0	265.0	264.0
