C1	C2	C3	C4	C5	C6	C7	C8	C9	C10
34595.0	34595.0	34595.0	34595.0	32051.0	39789.0	209032.0	235081.0	235643.0	235643.0
34285.0	34285.0	34285.0	34285.0	34340.0	35557.0	43845.0	390110.0	391870.0	391870.0
37978.0	37978.0	37978.0	37978.0	36128.0	36362.0	129640.0	273806.0	273233.0	273233.0
40242.0	40242.0	40242.0	40900.0	41246.0	39703.0	71074.0	310283.0	312945.0	312945.0
52040.0	52040.0	52040.0	52112.0	49952.0	51070.0	59509.0	403334.0	411588.0	411588.0
34496.0	34496.0	34496.0	34496.0	34443.0	35742.0	171440.0	238364.0	238364.0	238364.0
42482.0	42482.0	42593.0	42593.0	34222.0	33546.0	159081.0	255230.0	255230.0	255230.0
32498.0	32498.0	32498.0	32498.0	35933.0	36113.0	95925.0	274470.0	274470.0	274470.0
56857.0	56857.0	56857.0	56857.0	56557.0	56940.0	180274.0	210356.0	210356.0	210356.0
39306.0	39306.0	39938.0	39938.0	39814.0	38795.0	179658.0	209162.0	209162.0	209162.0
