I1	I2	I3	I4	I5	I6	I7	I8	I9	I10
20.0	20.0	20.0	20.0	24.0	85.0	256.0	265.0	265.0	265.0
20.0	20.0	20.0	20.0	25.0	50.0	80.0	265.0	265.0	265.0
30.0	30.0	30.0	30.0	32.0	37.0	195.0	265.0	265.0	265.0
28.0	28.0	28.0	28.0	44.0	60.0	128.0	265.0	265.0	265.0
33.0	33.0	33.0	44.0	44.0	57.0	91.0	265.0	265.0	265.0
21.0	21.0	21.0	21.0	21.0	45.0	233.0	265.0	265.0	265.0
27.0	27.0	28.0	28.0	33.0	41.0	222.0	265.0	265.0	265.0
13.0	13.0	13.0	13.0	28.0	39.0	178.0	265.0	265.0	265.0
34.0	34.0	34.0	34.0	32.0	51.0	251.0	265.0	265.0	265.0
16.0	16.0	16.0	16.0	27.0	61.0	251.0	265.0	265.0	265.0
