T1	T2	T3	T4	T5	T6	T7	T8	T9	T10
8467	6891	6671	7146	6979	6096	4384	4069	4087	4092
6506	6448	6236	6357	6280	5986	5524	5190	5195	5320
6843	6921	6938	6754	7321	7792	5159	5411	6073	5080
7282	7611	7421	6738	7615	6809	6467	4038	4319	4402
7669	7255	8339	6961	7620	7992	6388	6607	5156	4381
7579	7031	6527	7112	6746	7881	4808	4867	4993	5577
7848	7583	6436	6802	6254	5996	5662	4184	4269	4032
6928	6242	5915	6355	5759	6087	4736	4058	3915	4117
5973	6993	5805	5758	6153	6271	5852	4139	3952	3986
6231	6282	5902	5710	5980	6967	3873	3905	3962	3731
