Initial Cost	Cost	Total iterations	Partial iterations	k	lambda
456824.0	325685.0	1000	100	1.0	0.001
456824.0	281437.0	2000	100	1.0	0.01
456824.0	291645.0	3000	100	1.0	0.1
456824.0	361365.0	4000	100	1.0	1.0
456824.0	334865.0	1000	200	5.0	0.001
456824.0	287210.0	2000	200	5.0	0.01
456824.0	274003.0	3000	200	5.0	0.1
456824.0	351624.0	4000	200	5.0	1.0
456824.0	373331.0	1000	300	25.0	0.001
456824.0	328189.0	2000	300	25.0	0.01
456824.0	265979.0	3000	300	25.0	0.1
456824.0	329570.0	4000	300	25.0	1.0
456824.0	315922.0	1000	400	125.0	0.001
456824.0	281798.0	2000	400	125.0	0.01
456824.0	274211.0	3000	400	125.0	0.1
456824.0	358532.0	4000	400	125.0	1.0
456824.0	339610.0	1000	100	1.0	0.001
456824.0	321473.0	2000	100	1.0	0.01
456824.0	297726.0	3000	100	1.0	0.1
456824.0	343754.0	4000	100	1.0	1.0
456824.0	349784.0	1000	200	5.0	0.001
456824.0	290276.0	2000	200	5.0	0.01
456824.0	291346.0	3000	200	5.0	0.1
456824.0	353168.0	4000	200	5.0	1.0
456824.0	342898.0	1000	300	25.0	0.001
456824.0	269676.0	2000	300	25.0	0.01
456824.0	275801.0	3000	300	25.0	0.1
456824.0	337368.0	4000	300	25.0	1.0
456824.0	351756.0	1000	400	125.0	0.001
456824.0	310258.0	2000	400	125.0	0.01
456824.0	282569.0	3000	400	125.0	0.1
456824.0	333296.0	4000	400	125.0	1.0
456824.0	312681.0	1000	100	1.0	0.001
456824.0	287958.0	2000	100	1.0	0.01
456824.0	302866.0	3000	100	1.0	0.1
456824.0	343632.0	4000	100	1.0	1.0
456824.0	341648.0	1000	200	5.0	0.001
456824.0	285144.0	2000	200	5.0	0.01
456824.0	278310.0	3000	200	5.0	0.1
456824.0	330872.0	4000	200	5.0	1.0
456824.0	319774.0	1000	300	25.0	0.001
456824.0	315194.0	2000	300	25.0	0.01
456824.0	306363.0	3000	300	25.0	0.1
456824.0	296459.0	4000	300	25.0	1.0
456824.0	319907.0	1000	400	125.0	0.001
456824.0	292717.0	2000	400	125.0	0.01
456824.0	272275.0	3000	400	125.0	0.1
456824.0	334714.0	4000	400	125.0	1.0
456824.0	314942.0	1000	100	1.0	0.001
456824.0	298271.0	2000	100	1.0	0.01
456824.0	270154.0	3000	100	1.0	0.1
456824.0	350447.0	4000	100	1.0	1.0
456824.0	369440.0	1000	200	5.0	0.001
456824.0	308569.0	2000	200	5.0	0.01
456824.0	261200.0	3000	200	5.0	0.1
456824.0	353122.0	4000	200	5.0	1.0
456824.0	346332.0	1000	300	25.0	0.001
456824.0	301203.0	2000	300	25.0	0.01
456824.0	290633.0	3000	300	25.0	0.1
456824.0	387311.0	4000	300	25.0	1.0
456824.0	361422.0	1000	400	125.0	0.001
456824.0	276445.0	2000	400	125.0	0.01
456824.0	283700.0	3000	400	125.0	0.1
456824.0	372807.0	4000	400	125.0	1.0
456824.0	380004.0	1000	100	1.0	0.001
456824.0	315775.0	2000	100	1.0	0.01
456824.0	285523.0	3000	100	1.0	0.1
456824.0	349709.0	4000	100	1.0	1.0
456824.0	355478.0	1000	200	5.0	0.001
456824.0	301295.0	2000	200	5.0	0.01
456824.0	287905.0	3000	200	5.0	0.1
456824.0	376137.0	4000	200	5.0	1.0
456824.0	325760.0	1000	300	25.0	0.001
456824.0	287589.0	2000	300	25.0	0.01
456824.0	312600.0	3000	300	25.0	0.1
456824.0	303686.0	4000	300	25.0	1.0
456824.0	342024.0	1000	400	125.0	0.001
456824.0	280487.0	2000	400	125.0	0.01
456824.0	255099.0	3000	400	125.0	0.1
456824.0	353802.0	4000	400	125.0	1.0
456824.0	323907.0	1000	100	1.0	0.001
456824.0	307872.0	2000	100	1.0	0.01
456824.0	279281.0	3000	100	1.0	0.1
456824.0	401596.0	4000	100	1.0	1.0
456824.0	333361.0	1000	200	5.0	0.001
456824.0	292182.0	2000	200	5.0	0.01
456824.0	296951.0	3000	200	5.0	0.1
456824.0	379314.0	4000	200	5.0	1.0
456824.0	336766.0	1000	300	25.0	0.001
456824.0	302604.0	2000	300	25.0	0.01
456824.0	274587.0	3000	300	25.0	0.1
456824.0	332876.0	4000	300	25.0	1.0
456824.0	333704.0	1000	400	125.0	0.001
456824.0	313361.0	2000	400	125.0	0.01
456824.0	302641.0	3000	400	125.0	0.1
456824.0	368358.0	4000	400	125.0	1.0
456824.0	332791.0	1000	100	1.0	0.001
456824.0	302418.0	2000	100	1.0	0.01
456824.0	276448.0	3000	100	1.0	0.1
456824.0	335060.0	4000	100	1.0	1.0
456824.0	324085.0	1000	200	5.0	0.001
456824.0	277702.0	2000	200	5.0	0.01
456824.0	286299.0	3000	200	5.0	0.1
456824.0	329344.0	4000	200	5.0	1.0
456824.0	358517.0	1000	300	25.0	0.001
456824.0	283283.0	2000	300	25.0	0.01
456824.0	278899.0	3000	300	25.0	0.1
456824.0	353149.0	4000	300	25.0	1.0
456824.0	316760.0	1000	400	125.0	0.001
456824.0	309078.0	2000	400	125.0	0.01
456824.0	304808.0	3000	400	125.0	0.1
456824.0	350828.0	4000	400	125.0	1.0
456824.0	326423.0	1000	100	1.0	0.001
456824.0	278317.0	2000	100	1.0	0.01
456824.0	280052.0	3000	100	1.0	0.1
456824.0	354560.0	4000	100	1.0	1.0
456824.0	320283.0	1000	200	5.0	0.001
456824.0	304802.0	2000	200	5.0	0.01
456824.0	293108.0	3000	200	5.0	0.1
456824.0	342326.0	4000	200	5.0	1.0
456824.0	315435.0	1000	300	25.0	0.001
456824.0	295803.0	2000	300	25.0	0.01
456824.0	297498.0	3000	300	25.0	0.1
456824.0	370600.0	4000	300	25.0	1.0
456824.0	329279.0	1000	400	125.0	0.001
456824.0	281860.0	2000	400	125.0	0.01
456824.0	261757.0	3000	400	125.0	0.1
456824.0	348628.0	4000	400	125.0	1.0
456824.0	351480.0	1000	100	1.0	0.001
456824.0	294965.0	2000	100	1.0	0.01
456824.0	265457.0	3000	100	1.0	0.1
456824.0	309721.0	4000	100	1.0	1.0
456824.0	323992.0	1000	200	5.0	0.001
456824.0	292424.0	2000	200	5.0	0.01
456824.0	265826.0	3000	200	5.0	0.1
456824.0	372818.0	4000	200	5.0	1.0
456824.0	311043.0	1000	300	25.0	0.001
456824.0	280858.0	2000	300	25.0	0.01
456824.0	292181.0	3000	300	25.0	0.1
456824.0	349268.0	4000	300	25.0	1.0
456824.0	326475.0	1000	400	125.0	0.001
456824.0	295374.0	2000	400	125.0	0.01
