Initial Cost	Cost	Total iterations	Partial iterations	k	lambda
267148.0	202829.0	1000	100	1.0	0.001

267148.0	184583.0	2000	100	1.0	0.01

267148.0	176453.0	3000	100	1.0	0.1

267148.0	200192.0	4000	100	1.0	1.0

267148.0	202318.0	1000	200	5.0	0.001

267148.0	178383.0	2000	200	5.0	0.01

267148.0	212825.0	3000	200	5.0	0.1

267148.0	209753.0	4000	200	5.0	1.0

267148.0	194971.0	1000	300	25.0	0.001

267148.0	189526.0	2000	300	25.0	0.01

267148.0	184048.0	3000	300	25.0	0.1

267148.0	194271.0	4000	300	25.0	1.0

267148.0	210718.0	1000	400	125.0	0.001

267148.0	184575.0	2000	400	125.0	0.01

267148.0	199745.0	3000	400	125.0	0.1

267148.0	214300.0	4000	400	125.0	1.0

267148.0	197616.0	1000	100	1.0	0.001

267148.0	183552.0	2000	100	1.0	0.01

267148.0	215258.0	3000	100	1.0	0.1

267148.0	203255.0	4000	100	1.0	1.0

267148.0	204237.0	1000	200	5.0	0.001

267148.0	196331.0	2000	200	5.0	0.01

267148.0	179318.0	3000	200	5.0	0.1

267148.0	209856.0	4000	200	5.0	1.0

267148.0	208350.0	1000	300	25.0	0.001

267148.0	186454.0	2000	300	25.0	0.01

267148.0	188043.0	3000	300	25.0	0.1

267148.0	212430.0	4000	300	25.0	1.0

267148.0	220746.0	1000	400	125.0	0.001

267148.0	177958.0	2000	400	125.0	0.01

267148.0	174573.0	3000	400	125.0	0.1

267148.0	244153.0	4000	400	125.0	1.0

267148.0	226018.0	1000	100	1.0	0.001

267148.0	272524.0	2000	100	1.0	0.01

267148.0	163192.0	3000	100	1.0	0.1

267148.0	221266.0	4000	100	1.0	1.0

267148.0	215798.0	1000	200	5.0	0.001

267148.0	183368.0	2000	200	5.0	0.01

267148.0	176240.0	3000	200	5.0	0.1

267148.0	203236.0	4000	200	5.0	1.0

267148.0	212917.0	1000	300	25.0	0.001

267148.0	192725.0	2000	300	25.0	0.01

267148.0	196535.0	3000	300	25.0	0.1

267148.0	199759.0	4000	300	25.0	1.0

267148.0	217200.0	1000	400	125.0	0.001

267148.0	196674.0	2000	400	125.0	0.01

267148.0	179589.0	3000	400	125.0	0.1

267148.0	233105.0	4000	400	125.0	1.0

267148.0	228282.0	1000	100	1.0	0.001

267148.0	176072.0	2000	100	1.0	0.01

267148.0	169711.0	3000	100	1.0	0.1

267148.0	233153.0	4000	100	1.0	1.0

267148.0	209947.0	1000	200	5.0	0.001

267148.0	179547.0	2000	200	5.0	0.01

267148.0	180789.0	3000	200	5.0	0.1

267148.0	225761.0	4000	200	5.0	1.0

267148.0	205701.0	1000	300	25.0	0.001

267148.0	192537.0	2000	300	25.0	0.01

267148.0	172053.0	3000	300	25.0	0.1

267148.0	210247.0	4000	300	25.0	1.0

267148.0	211147.0	1000	400	125.0	0.001

267148.0	174494.0	2000	400	125.0	0.01

267148.0	167898.0	3000	400	125.0	0.1

267148.0	218019.0	4000	400	125.0	1.0

267148.0	237348.0	1000	100	1.0	0.001

267148.0	191374.0	2000	100	1.0	0.01

267148.0	199107.0	3000	100	1.0	0.1

267148.0	222467.0	4000	100	1.0	1.0

267148.0	269002.0	1000	200	5.0	0.001

267148.0	182721.0	2000	200	5.0	0.01

267148.0	179259.0	3000	200	5.0	0.1

267148.0	213357.0	4000	200	5.0	1.0

267148.0	206633.0	1000	300	25.0	0.001

267148.0	185554.0	2000	300	25.0	0.01

267148.0	172691.0	3000	300	25.0	0.1

267148.0	197126.0	4000	300	25.0	1.0

267148.0	202717.0	1000	400	125.0	0.001

267148.0	189408.0	2000	400	125.0	0.01

267148.0	220006.0	3000	400	125.0	0.1

267148.0	278117.0	4000	400	125.0	1.0

267148.0	218593.0	1000	100	1.0	0.001

267148.0	187982.0	2000	100	1.0	0.01

267148.0	209527.0	3000	100	1.0	0.1

267148.0	209501.0	4000	100	1.0	1.0

267148.0	223358.0	1000	200	5.0	0.001

267148.0	187479.0	2000	200	5.0	0.01

267148.0	183426.0	3000	200	5.0	0.1

267148.0	201655.0	4000	200	5.0	1.0

267148.0	213355.0	1000	300	25.0	0.001

267148.0	190913.0	2000	300	25.0	0.01

267148.0	169351.0	3000	300	25.0	0.1

267148.0	209904.0	4000	300	25.0	1.0

267148.0	200937.0	1000	400	125.0	0.001

267148.0	166446.0	2000	400	125.0	0.01

267148.0	213251.0	3000	400	125.0	0.1

267148.0	236084.0	4000	400	125.0	1.0

267148.0	204633.0	1000	100	1.0	0.001

267148.0	222034.0	2000	100	1.0	0.01

267148.0	192136.0	3000	100	1.0	0.1

267148.0	229933.0	4000	100	1.0	1.0

267148.0	218228.0	1000	200	5.0	0.001

267148.0	181621.0	2000	200	5.0	0.01

267148.0	164519.0	3000	200	5.0	0.1

267148.0	215704.0	4000	200	5.0	1.0

267148.0	219777.0	1000	300	25.0	0.001

267148.0	181444.0	2000	300	25.0	0.01

267148.0	211723.0	3000	300	25.0	0.1

267148.0	202423.0	4000	300	25.0	1.0

267148.0	244703.0	1000	400	125.0	0.001

267148.0	199438.0	2000	400	125.0	0.01

267148.0	167200.0	3000	400	125.0	0.1

267148.0	212783.0	4000	400	125.0	1.0

267148.0	207331.0	1000	100	1.0	0.001

267148.0	199277.0	2000	100	1.0	0.01

267148.0	169929.0	3000	100	1.0	0.1

267148.0	232788.0	4000	100	1.0	1.0

267148.0	201462.0	1000	200	5.0	0.001

267148.0	183359.0	2000	200	5.0	0.01

267148.0	172469.0	3000	200	5.0	0.1

267148.0	223158.0	4000	200	5.0	1.0

267148.0	219667.0	1000	300	25.0	0.001

267148.0	186728.0	2000	300	25.0	0.01

267148.0	194024.0	3000	300	25.0	0.1

267148.0	228010.0	4000	300	25.0	1.0

267148.0	206212.0	1000	400	125.0	0.001

267148.0	178237.0	2000	400	125.0	0.01

267148.0	183504.0	3000	400	125.0	0.1

267148.0	204399.0	4000	400	125.0	1.0

267148.0	199382.0	1000	100	1.0	0.001

267148.0	180293.0	2000	100	1.0	0.01

267148.0	190284.0	3000	100	1.0	0.1

267148.0	226257.0	4000	100	1.0	1.0

267148.0	229754.0	1000	200	5.0	0.001

267148.0	186869.0	2000	200	5.0	0.01

267148.0	185759.0	3000	200	5.0	0.1

267148.0	221972.0	4000	200	5.0	1.0

267148.0	199174.0	1000	300	25.0	0.001

267148.0	212237.0	2000	300	25.0	0.01

267148.0	183032.0	3000	300	25.0	0.1

267148.0	209412.0	4000	300	25.0	1.0

267148.0	190764.0	1000	400	125.0	0.001

267148.0	185793.0	2000	400	125.0	0.01

267148.0	174354.0	3000	400	125.0	0.1

267148.0	217432.0	4000	400	125.0	1.0

267148.0	210920.0	1000	100	1.0	0.001

267148.0	187149.0	2000	100	1.0	0.01

267148.0	205665.0	3000	100	1.0	0.1

267148.0	203665.0	4000	100	1.0	1.0

267148.0	250571.0	1000	200	5.0	0.001

267148.0	182970.0	2000	200	5.0	0.01

267148.0	240908.0	3000	200	5.0	0.1

267148.0	249603.0	4000	200	5.0	1.0

267148.0	206931.0	1000	300	25.0	0.001

267148.0	176875.0	2000	300	25.0	0.01

267148.0	243449.0	3000	300	25.0	0.1

267148.0	221378.0	4000	300	25.0	1.0

267148.0	217290.0	1000	400	125.0	0.001

267148.0	193323.0	2000	400	125.0	0.01

267148.0	177596.0	3000	400	125.0	0.1

267148.0	209837.0	4000	400	125.0	1.0

267148.0	209048.0	1000	100	1.0	0.001

267148.0	189648.0	2000	100	1.0	0.01

267148.0	160514.0	3000	100	1.0	0.1

267148.0	197945.0	4000	100	1.0	1.0

267148.0	230377.0	1000	200	5.0	0.001

267148.0	191063.0	2000	200	5.0	0.01

267148.0	221742.0	3000	200	5.0	0.1

267148.0	264871.0	4000	200	5.0	1.0

267148.0	216332.0	1000	300	25.0	0.001

267148.0	197340.0	2000	300	25.0	0.01

267148.0	153067.0	3000	300	25.0	0.1

267148.0	209239.0	4000	300	25.0	1.0

267148.0	214959.0	1000	400	125.0	0.001

267148.0	179021.0	2000	400	125.0	0.01

267148.0	188774.0	3000	400	125.0	0.1

267148.0	242443.0	4000	400	125.0	1.0

267148.0	198075.0	1000	100	1.0	0.001

267148.0	188584.0	2000	100	1.0	0.01

267148.0	168964.0	3000	100	1.0	0.1

267148.0	212960.0	4000	100	1.0	1.0

267148.0	221796.0	1000	200	5.0	0.001

267148.0	187705.0	2000	200	5.0	0.01

267148.0	183702.0	3000	200	5.0	0.1

267148.0	241116.0	4000	200	5.0	1.0

267148.0	219717.0	1000	300	25.0	0.001

267148.0	183827.0	2000	300	25.0	0.01

267148.0	211851.0	3000	300	25.0	0.1

267148.0	218317.0	4000	300	25.0	1.0

267148.0	209266.0	1000	400	125.0	0.001

267148.0	188205.0	2000	400	125.0	0.01

267148.0	174949.0	3000	400	125.0	0.1

267148.0	211712.0	4000	400	125.0	1.0

267148.0	195660.0	1000	100	1.0	0.001

267148.0	186321.0	2000	100	1.0	0.01

267148.0	158016.0	3000	100	1.0	0.1

267148.0	221506.0	4000	100	1.0	1.0

267148.0	210414.0	1000	200	5.0	0.001

267148.0	187562.0	2000	200	5.0	0.01

267148.0	197656.0	3000	200	5.0	0.1

267148.0	222875.0	4000	200	5.0	1.0

267148.0	232976.0	1000	300	25.0	0.001

267148.0	178557.0	2000	300	25.0	0.01

267148.0	179793.0	3000	300	25.0	0.1

267148.0	209446.0	4000	300	25.0	1.0

267148.0	201954.0	1000	400	125.0	0.001

267148.0	192664.0	2000	400	125.0	0.01

267148.0	164843.0	3000	400	125.0	0.1

267148.0	203545.0	4000	400	125.0	1.0

267148.0	193831.0	1000	100	1.0	0.001

267148.0	207564.0	2000	100	1.0	0.01

267148.0	170231.0	3000	100	1.0	0.1

267148.0	215864.0	4000	100	1.0	1.0

267148.0	207506.0	1000	200	5.0	0.001

267148.0	181242.0	2000	200	5.0	0.01

267148.0	174357.0	3000	200	5.0	0.1

267148.0	215087.0	4000	200	5.0	1.0

267148.0	210933.0	1000	300	25.0	0.001

267148.0	275970.0	2000	300	25.0	0.01

267148.0	178204.0	3000	300	25.0	0.1

267148.0	232227.0	4000	300	25.0	1.0

267148.0	213574.0	1000	400	125.0	0.001

267148.0	205854.0	2000	400	125.0	0.01

267148.0	178765.0	3000	400	125.0	0.1

267148.0	234076.0	4000	400	125.0	1.0

267148.0	201351.0	1000	100	1.0	0.001

267148.0	187998.0	2000	100	1.0	0.01

267148.0	198498.0	3000	100	1.0	0.1

267148.0	220285.0	4000	100	1.0	1.0

267148.0	209183.0	1000	200	5.0	0.001

267148.0	189730.0	2000	200	5.0	0.01

267148.0	198261.0	3000	200	5.0	0.1

267148.0	224600.0	4000	200	5.0	1.0

267148.0	199965.0	1000	300	25.0	0.001

267148.0	181528.0	2000	300	25.0	0.01

267148.0	266310.0	3000	300	25.0	0.1

267148.0	225934.0	4000	300	25.0	1.0

267148.0	213178.0	1000	400	125.0	0.001

267148.0	203835.0	2000	400	125.0	0.01

267148.0	181859.0	3000	400	125.0	0.1

267148.0	198666.0	4000	400	125.0	1.0

267148.0	214930.0	1000	100	1.0	0.001

267148.0	183936.0	2000	100	1.0	0.01

267148.0	175581.0	3000	100	1.0	0.1

267148.0	240811.0	4000	100	1.0	1.0

267148.0	222983.0	1000	200	5.0	0.001

267148.0	186533.0	2000	200	5.0	0.01

267148.0	191677.0	3000	200	5.0	0.1

267148.0	223994.0	4000	200	5.0	1.0

267148.0	198312.0	1000	300	25.0	0.001

267148.0	178581.0	2000	300	25.0	0.01

